generation,eval_avg,eval_best,avg_fitness,topk_fitness,avg_fitness_std,topk_fitness_std,avg_len
0,0.0010209999999999581,0.4475,0.0800200030207634,0.17090000212192535,0.045222166925668716,0.030454304069280624,1977.9541015625
1,,,0.11055000126361847,0.22919997572898865,0.057014454156160355,0.03515276685357094,1987.2900390625
2,,,0.1348700076341629,0.25690001249313354,0.061564378440380096,0.0359206460416317,1991.8741455078125
3,,,0.15414001047611237,0.29109999537467957,0.06879966706037521,0.04275594651699066,1996.7501220703125
4,,,0.16425000131130219,0.30069997906684875,0.06915359199047089,0.03848796337842941,1988.674072265625
5,,,0.1777300089597702,0.3271999955177307,0.07635035365819931,0.038718875497579575,1990.330078125
6,,,0.1842000037431717,0.33660003542900085,0.07893916219472885,0.03539731726050377,1997.43408203125
7,,,0.20232002437114716,0.36299997568130493,0.08352480828762054,0.03616739436984062,1996.2520751953125
8,,,0.19957001507282257,0.35429999232292175,0.08193307369947433,0.04100394248962402,1998.39404296875
9,,,0.20281000435352325,0.36830002069473267,0.0831066220998764,0.04247530177235603,1995.7000732421875
10,0.0040439999999999825,0.5055,0.20799000561237335,0.3627999722957611,0.08365199714899063,0.04285469651222229,1991.89404296875
11,,,0.20572000741958618,0.375,0.08707274496555328,0.04210376366972923,1991.196044921875
12,,,0.20858000218868256,0.38269996643066406,0.08924992382526398,0.04620671272277832,1988.14208984375
13,,,0.207519993185997,0.38739997148513794,0.09388218075037003,0.05309833958745003,1974.8341064453125
14,,,0.21119001507759094,0.3912999629974365,0.0942983329296112,0.045073557645082474,1983.2000732421875
15,,,0.22133000195026398,0.42389997839927673,0.10435717552900314,0.05214383080601692,1985.5740966796875
