generation,eval_avg,eval_best,avg_fitness,topk_fitness,avg_fitness_std,topk_fitness_std,avg_len,tr_time,pct_self_play,eval_time
0,0.3781799852102995,1.0870000123977661,0.41091999411582947,0.9258149266242981,0.30270883440971375,0.07472585141658783,983.384033203125,34.06872892379761,3.4e-08,13.156638622283936
1,,,0.420864999294281,0.961449921131134,0.31114742159843445,0.09631102532148361,1022.8910522460938,33.77310848236084,1.36e-07,0
2,,,0.4268549978733063,0.9286749958992004,0.2998723089694977,0.09414341300725937,1059.0640869140625,33.75647807121277,3.0599999999999996e-07,0
3,,,0.4296175241470337,0.950279951095581,0.3063123822212219,0.09001632034778595,1067.278076171875,33.7446985244751,5.44e-07,0
4,,,0.44623950123786926,0.9420399069786072,0.3030194640159607,0.09197910130023956,1055.277099609375,33.77316761016846,8.499999999999999e-07,0
5,,,0.4219619929790497,0.9109299778938293,0.29536911845207214,0.07314715534448624,1076.4530029296875,33.76651430130005,1.2239999999999998e-06,0
6,,,0.43709349632263184,0.9332049489021301,0.29984718561172485,0.08578343689441681,1061.259033203125,33.77917432785034,1.6659999999999998e-06,0
7,,,0.43712300062179565,0.9323949217796326,0.29658961296081543,0.10171613097190857,1092.0540771484375,33.76997900009155,2.176e-06,0
8,,,0.4358164966106415,0.9327349662780762,0.30285289883613586,0.09491293877363205,1086.966064453125,33.76581168174744,2.754e-06,0
9,,,0.44256049394607544,0.9411849975585938,0.3002060353755951,0.08834565430879593,1086.8680419921875,33.77929067611694,3.3999999999999996e-06,0
10,0.4477049794048071,1.2079999446868896,0.4447765052318573,0.9400249123573303,0.29664474725723267,0.08741003274917603,1090.676025390625,33.793853759765625,4.114e-06,13.3313729763031
11,,,0.4329789876937866,0.932004988193512,0.2966262102127075,0.08967140316963196,1068.6600341796875,33.77280521392822,4.895999999999999e-06,0
12,,,0.4163314998149872,0.8988849520683289,0.28711509704589844,0.0845741331577301,1093.1571044921875,33.784672260284424,5.746e-06,0
13,,,0.4306830167770386,0.9192950129508972,0.2936800718307495,0.08303358405828476,1081.2120361328125,33.791486501693726,6.663999999999999e-06,0
14,,,0.44786348938941956,0.923099935054779,0.30151623487472534,0.07627622783184052,1075.7239990234375,33.78422260284424,7.65e-06,0
15,,,0.4325005114078522,0.9260499477386475,0.2964321970939636,0.08193648606538773,1076.3160400390625,33.75529885292053,8.704e-06,0
16,,,0.441677987575531,0.9201899766921997,0.29564228653907776,0.08389342576265335,1058.10400390625,33.789453744888306,9.825999999999999e-06,0
17,,,0.4383940100669861,0.9257499575614929,0.2967918813228607,0.09130579978227615,1093.133056640625,33.791783571243286,1.1016e-05,0
18,,,0.4422970116138458,0.9420999884605408,0.30124109983444214,0.09044191241264343,1055.4580078125,33.780184745788574,1.2274e-05,0
19,,,0.4403580129146576,0.9430499076843262,0.29859989881515503,0.09387804567813873,1051.75,33.75719165802002,1.3599999999999999e-05,0
20,0.38326998218894004,1.0869998931884766,0.4322470426559448,0.9430599808692932,0.3068848252296448,0.07837563008069992,1042.1590576171875,33.75967478752136,1.4993999999999997e-05,13.300165176391602
21,,,0.4141465127468109,0.9351999163627625,0.29751765727996826,0.09479070454835892,1076.592041015625,33.758596420288086,1.6456e-05,0
22,,,0.43485400080680847,0.9515349268913269,0.3010973632335663,0.09951522201299667,1055.694091796875,33.75628614425659,1.7986e-05,0
23,,,0.4436759948730469,0.9314349889755249,0.29993996024131775,0.09078395366668701,1067.7310791015625,33.770649909973145,1.9583999999999997e-05,0
24,,,0.45201051235198975,0.9379299879074097,0.29745903611183167,0.08453899621963501,1096.715087890625,33.764413833618164,2.125e-05,0
25,,,0.4616425335407257,0.9544050097465515,0.29823243618011475,0.08583010733127594,1082.3370361328125,33.74683856964111,2.2984e-05,0
26,,,0.449737012386322,0.9297299981117249,0.2913064658641815,0.07915918529033661,1098.697998046875,33.76336169242859,2.4786e-05,0
27,,,0.4644179940223694,0.9438799023628235,0.2941587269306183,0.07377377897500992,1090.9510498046875,33.76298546791077,2.6655999999999997e-05,0
28,,,0.46623197197914124,0.9554999470710754,0.2967810332775116,0.08565247058868408,1094.965087890625,33.77358889579773,2.8593999999999998e-05,0
29,,,0.4724079668521881,0.9668049216270447,0.2994789481163025,0.09925669431686401,1071.675048828125,33.78055500984192,3.06e-05,0
30,0.5379699797928333,1.0959999561309814,0.4972524642944336,0.9876399040222168,0.30101078748703003,0.09015674889087677,1089.7960205078125,33.79596018791199,3.2674e-05,13.33318567276001
31,,,0.5298559665679932,1.0041849613189697,0.2977161705493927,0.08862414211034775,1106.7540283203125,33.785892724990845,3.4816e-05,0
32,,,0.565154492855072,1.0399349927902222,0.2937065064907074,0.085114985704422,1127.1380615234375,33.78107142448425,3.7025999999999994e-05,0
33,,,0.5963044762611389,1.1004799604415894,0.305190771818161,0.09889965504407883,1120.260009765625,33.784576654434204,3.9303999999999995e-05,0
34,,,0.6211450099945068,1.1261399984359741,0.3200882375240326,0.08427272737026215,1122.7440185546875,33.78347945213318,4.165e-05,0
